"analysis_id","gene_accession_id","gene_symbol","mouse_strain","mouse_life_stage","parameter_id","pvalue","parameter_name"
"585209cq1xvji4a","MGI:103300","Rbl1","C57BL","Early adult","IMPC_FEA_003_001","0.7160231","Conditioning Baseline % Freezing Time"
"58554d1ejht5rzx","MGI:104793","Runx1t1","C57BL","Early adult","IMPC_OFD_021_001","0.9428421","Number of rears - total"
"585k5j4r9py972x","MGI:97565","Pgm1","C57BL","E9.5","MGP_IMM_040_001","0.9617821","Ly6C+ mature NK cells - % of mature NK cells"
"585qpnwu755wi3a","MGI:1339968","Cth","C57BL","Early adult","IMPC_ECH_012_001","0.7537911","LVPWs"
"586ja0rso405r8x","MGI:3611450","Mettl21c","C57BL","Early adult","UCD_OWT_004_001","0.1674038","Left kidney"
"589gn0z426b68da","MGI:1096385","Bcan","C57BL","Early adult","IMPC_HEM_031_001","0.8133835","Lymphocyte differential count"
"589mpe0erep0rtx","MGI:2444824","Sirpb1a","C57BL","Early adult","IMPC_XRY_016_001","0.2195556","Number of pelvic vertebrae"
"58a3knpor4s11va","MGI:2441837","Adgrb3","C58BL","E18.5","JAX_LDT_009_001","0.08357321","Percent time in light"
"58c38kk95b234ga","MGI:2443100","Bend7","C57BL","Early adult","MGP_IMM_128_001","0.2877195","Conventional DC (cDC) - % of CD45+"
"58d44m1033d9lfx","MGI:97565","Pgm1","C57BL","E12.5","IMPC_FEA_105_001","0.1875872","Difference in Context and Conditioning Baseline % Freezing"
"58hl13uyfm7ep2x","MGI:106637","Slc30a2","C57BL","Early adult","IMPC_EYE_017_001","0.9006313","Lens Opacity"
"58ib89h6618i25x","MGI:1922776","Eppin","C57BL","Early adult","ESLIM_016_001_004","0.07799037","Haematocrit"
"58ls5s26c2tws6a","MGI:2443564","Ambra1","C57BL","E9.5","JAX_OFD_016_001","0.9801078","Center permanence time"
"58lt9ajztv21d5x","MGI:108429","Lpar1","C57BL","E12.5","IMPC_XRY_060_001","0.9852816","Transitional vertebrae"
"58n9bz8ot3y4d2a","MGI:1915862","Ube2c","C57BL","E18.5","IMPC_DXA_006_001","0.1732608","Body length"
"58o0f01336u009x","MGI:107363","Stxbp1","C57BL","Early adult","IMPC_OFD_018_001","0.486238","Latency to center entry"
"58r7yr13m3w064a","MGI:2140361","Slc35d1","C57BL","Early adult","IMPC_GEP_034_001","0.4629783","Skin Appearance"
"58ts8f5r6le455a","MGI:1914542","Pigc","C57BL","Early adult","UCDIP_CSD_014_001","0.844697","Coat - hair texture / appearance - back"
"58w0vt38i305plx","MGI:1914542","Pigc","C57BL","Early adult","MGP_MLN_079_001","0.5962967","CD5+ gd T cells - % of CD45+"
"58yp4t8b28pwa2x","MGI:1915247","Ddx59","C57BL","Early adult","IMPC_GRS_009_001","0.7572366","Forelimb and hindlimb grip strength measurement mean"
"590ivsi1w80pc2x","MGI:1920484","Snorc","C57BL","Early adult","IMPC_XRY_063_001","0.2577915","Cervical processes"
"590n59m0c76w1ux","MGI:2140050","Ints3","C57BL","E9.5","IMPC_HWT_008_001","0.1317271","Heart weight"
"590w504872x1ina","MGI:1914199","Trim59","C57BL","E18.5","UCD_OWT_029_001","0.5008632","Body length"
"592k7225dl2l0la","MGI:97565","Pgm1","C57BL","Early adult","IMPC_HEM_019_001","0.9620635","Mean platelet volume"
"594491b09h58sja","MGI:1921735","Lrrc71","C57BL","Early adult","IMPC_ABR_008_001","0.1740112","18kHz-evoked ABR Threshold"
"5956at5t205hj3a","MGI:3590554","Firrm","C57BL","Early adult","IMPC_GEL_027_001","0.5171575","Neural tube closure"
"596b97k0yhxn1bx","MGI:1927241","Wdr12","C57BL","Early adult","JAX_OFD_010_001","0.1519761","Periphery distance travelled"
"5970s6j039t0yhx","MGI:87879","Aco1","C57BL","Early adult","IMPC_CSD_028_001","0.3518978","Snout size"
"598r97e1fa18lzx","MGI:3649135","Gm7694","C57BL","Early adult","IMPC_ECG_004_001","0.2292194","RR"
"59f9gf1km548u1a","MGI:1350930","Srp9","C57BL","E9.5","MGP_MLN_114_001","0.7988514","Total DC - % of CD45+"
"59kw29218lkob6x","MGI:1924232","Vxn","C57BL","Early adult","ESLIM_016_001_005","0.269458","Mean cell volume"
"59m3211tfn0542x","MGI:1919471","Cimip1","C57BL","Early adult","IMPC_EYE_062_001","0.2001857","Right total retinal thickness"
"59ma0u68oju910a","MGI:1914199","Trim59","C57BL","Early adult","IMPC_GEL_063_001","0.9423724","Delayed embryonic development"
"59omn0g763v79cx","MGI:106925","Cldn11","C57BL","Late adult","MGP_IMM_009_001","0.7482841","Total Treg cells - % of CD4+"
"59p8cbclvw2p80a","MGI:1931071","Sec61a2","C57BL","Early adult","IMPC_ABR_012_001","0.3084825","30kHz-evoked ABR Threshold"
"59s6kge69nzm09x","MGI:1924467","Rspo4","C57BL","Early adult","IMPC_GEM_019_001","0.3752351","Embryo Size"
"59xx169o49fb2fx","MGI:1916428","Snx5","129SV","Early adult","CCP_LFO_001_001","0.808978","Weight"
"5a2p74su34k84ex","MGI:1201673","Shox2","C57BL","Early adult","IMPC_CAL_017_001","0.8553668","Respiratory Exchange Ratio"
"5a3ymz0l3yj1oox","MGI:2444631","Bltp1","C57BL","Early adult","IMPC_EYE_092_001","0.5875762","Retina (combined)"
"5a41o5h19l2m4pa","MGI:1927241","Wdr12","C57BL","E12.5","IMPC_OFD_021_001","0.7874204","Number of rears - total"
"5a4d480fmjn5urx","MGI:1916987","Ttl","C57BL","E15.5","IMPC_OFD_020_001","0.9759956","Distance travelled - total"
"5a5ii8v4g60dgra","MGI:3590554","Firrm","C57BL","Early adult","IMPC_CBC_016_001","0.2585789","HDL-cholesterol"
"5aft741l619k31a","MGI:105383","Il18r1","C57BL","Early adult","IMPC_EYE_065_001","0.7916949","Right posterior chamber depth"
"5agy351tk3i755a","MGI:2444824","Sirpb1a","C57BL","Early adult","IMPC_GRS_010_001","0.9558524","Forelimb grip strength normalised against body weight"
"5aqfj82hoh6064a","MGI:1859866","Cdc20","C57BL","E12.5","ESLIM_008_001_016","0.4311747","Trunk curl"
"5b15d87q3t5hrna","MGI:88015","Ampd1","C57BL","E15.5","IMPC_CSD_061_001","0.9246824","Skin color - tail"
"5bn23kjisyd2gjx","MGI:109424","Abca4","C57BL","Early adult","IMPC_CBC_010_001","0.3894377","Phosphorus"
"5by4lmhe7q3l40a","MGI:1927241","Wdr12","C57BL","Early adult","IMPC_XRY_055_001","0.3024286","Shape of spine"
"5c289y3749rc25a","MGI:1346086","Aplnr","C57BL","Early adult","IMPC_HWT_002_001","0.2857219","Tibia length"
"5c7vv8v895jp1pa","MGI:1923676","Fam209","C57BL","Early adult","IMPC_CSD_030_001","0.6344443","Tremor"
"5c8xu7yd9fqkjdx","MGI:1341907","Fjx1","C57BL","Early adult","IMPC_FEA_003_001","0.5544736","Conditioning Baseline % Freezing Time"
"5ch3t7ozz5j6mua","MGI:1916987","Ttl","C57BL","E12.5","JAX_OFD_014_001","0.1407735","Center distance travelled"
"5cj5f3818m66d9x","MGI:104899","Mob4","C57BL","Early adult","IMPC_EYE_070_001","0.5248249","Left outer nuclear layer"
"5cv1zs799n36r5a","MGI:1859866","Cdc20","C57BL","E12.5","IMPC_XRY_006_001","0.4911835","Scapulae"
"5cvo918uyf09f1a","MGI:1915643","Mogat1","C57BL","Late adult","JAX_PLC_004_001","0.7749761","Glucose"
"5d02zv3qmprx96x","MGI:1920199","Ccnt2","C57BL","E18.5","IMPC_CAL_017_001","0.5832293","Respiratory Exchange Ratio"
"5d0oucufjo2a2qx","MGI:106637","Slc30a2","C57BL","Early adult","MGP_IMM_108_001","0.7212573","Marginal zone B cells - % of CD45+"
"5d2m1s3076ej81a","MGI:1915599","Ndufs3","C57BL","Early adult","ESLIM_020_001_004","0.1860073","Visual abnormality"
"5d3l1u199s1rp1x","MGI:2444631","Bltp1","C57BL","E15.5","IMPC_CBC_058_001","0.3024068","Cholesterol ratio"
"5d5a7b8d34f903x","MGI:2685195","Zbtb34","C57BL","E9.5","ESLIM_015_001_011","0.07927798","Iron"
"5d93m36hw03mria","MGI:1916413","Mrpl44","C57BL","E9.5","CCP_XRY_031_001","0.9985333","Digit integrity"
"5dbn1x1yb63y23a","MGI:1923381","Depdc1a","C57BL","Early adult","IMPC_IPG_012_001","0.60001","Area under glucose response curve"
"5dg16y7404xim2a","MGI:1923073","Fam227b","C57BL","Early adult","IMPC_OFD_014_001","0.3760641","Center distance travelled"
"5drq9hxu288i39x","MGI:97383","Ntrk1","C57BL","Early adult","IMPC_GEL_011_001","0.8487119","Embryo turning"
"5e3n0p2d070f9wa","MGI:2444274","Cfap65","C57BL","Early adult","IMPC_DXA_004_001","0.1340013","Bone Mineral Density (excluding skull)"
"5e59p715oxsf42x","MGI:1913491","Tmem9","C57BL","Early adult","MGP_IMM_009_001","0.9612176","Total Treg cells - % of CD4+"
"5e5kv9k1m9k528a","MGI:2448514","R3hdm1","C57BL","Early adult","IMPC_EYE_092_001","0.2930602","Retina (combined)"
"5eahe22auv6n14a","MGI:1915599","Ndufs3","C57BL","Early adult","IMPC_GEL_063_001","0.7378419","Delayed embryonic development"
"5ee76a56r38w91a","MGI:97803","Ptma","C57BL","E9.5","ESLIM_016_001_007","0.4229068","Mean cell haemoglobin concentration"
"5eeb2g2u0aapsox","MGI:98397","Src","C57BL","Early adult","IMPC_ACS_033_001","0.1272934","% Pre-pulse inhibition - PPI1"
"5enc8t2cfw42q9x","MGI:2444681","Hhat","C57BL","Early adult","IMPC_CBC_018_001","0.747782","Glucose"
"5eoz8vay5dtv2tx","MGI:104708","Cct3","C57BL","Early adult","MGP_IMM_013_001","0.5168962","Total CD8+ T cells - % of ab T cells"
"5eryc5l6202m11a","MGI:1278321","Epc2","C57BL","Early adult","IMPC_CSD_014_001","0.1070422","Coat - hair texture / appearance - back"
"5f65pt38g458z1a","MGI:97850","Raly","C57BL","Early adult","IMPC_OFD_013_001","0.3040441","Periphery average speed"
"5f6q8nqa5a7nx8a","MGI:109424","Abca4","C57BL","Early adult","MGP_IMM_083_001","0.3417758","Naive CD8+ T cells - % of CD45+"
"5f6u82sn41m897x","MGI:97565","Pgm1","C57BL","E12.5","MGP_PBI_015_001","0.4867118","IgD+ mature B cell percentage"
"5fatdnvd12z092x","MGI:2684896","Maneal","C57BL","Early adult","IMPC_EYE_087_001","0.334269","Right vitreous humor thickness"
"5ff98r40js976aa","MGI:108429","Lpar1","C57BL","Early adult","CCP_XRY_005_001","0.6037792","Teeth"
"5fsyzeaxxx0vk4x","MGI:1913761","Chtop","C57BL","Early adult","MGP_IMM_016_001","0.9162948","Naive CD8+ T cells - % of CD8+"
"5ft53l045z3c57x","MGI:1914542","Pigc","C57BL","Early adult","UCDLA_CSD_012_001","0.05754006","Coat - hair distribution - head"
"5fu37kwihb8jqpa","MGI:1353435","Fbxw2","C57BL","Early adult","IMPC_CBC_015_001","0.6461199","Total cholesterol"
"5g1c9rs9123y22a","MGI:3650206","Gm12695","C57BL","Early adult","MGP_MLN_080_001","0.3882659","Effector gd cells - % of CD45+"
"5g6g55hlly1vf5a","MGI:1913692","Spc25","C57BL","E9.5","ESLIM_011_001_002","0.3690052","PP1 startle magnitude"
"5gacb15395a52ca","MGI:2158201","Acot8","C57BL","Early adult","IMPC_GRS_011_001","0.1839937","Forelimb and hindlimb grip strength normalised against body weight"
"5gb07ds9g8p2uha","MGI:106925","Cldn11","C57BL","Early adult","M-G-P_016_001_006","0.6290872","Mean-corpuscular-haemoglobin"
"5gc63ewps211hux","MGI:1922946","Prpf6","C57BL","Early adult","ESLIM_006_001_030","0.4620088","Shape of vertebrae"
"5gk59g8c8cq030x","MGI:1924265","Mpped2","C57BL","Early adult","MGP_MLN_114_001","0.2422379","Total DC - % of CD45+"
"5gu597o3p2n242a","MGI:1913721","Anp32e","C57BL","Early adult","IMPC_HEM_007_001","0.4243923","Mean cell hemoglobin concentration"
"5gzudi7i5o0726x","MGI:2140050","Ints3","C57BL","E9.5","MGP_MLN_072_001","0.5407524","KLRG1+ Treg cells - % of CD45+"
"5h5i6l0fmqjw45a","MGI:3611233","Tox2","C57BL","Early adult","IMPC_XRY_006_001","0.981454","Scapulae"
"5hf997s7m4qz37x","MGI:1913491","Tmem9","C57BL","Early adult","IMPC_GEO_017_002","0.5564398","Facial Cleft"
"5hluk0y4238u10a","MGI:1201673","Shox2","C57BL","Early adult","IMPC_CSD_029_001","0.5147353","Activity (body position)"
"5hmfb06p158r62x","MGI:2442792","Cdh7","C57BL","Early adult","IMPC_XRY_023_001","0.09891376","Ulna"
"5hmxx33r304lk5a","MGI:88015","Ampd1","C57BL","Early adult","IMPC_XRY_060_001","0.4059098","Transitional vertebrae"
"5hq5y499071k9ka","MGI:104899","Mob4","C57BL","Early adult","IMPC_EYE_062_001","0.2443678","Right total retinal thickness"
"5hs19mbt019jc3x","MGI:1916413","Mrpl44","C57BL","E9.5","IMPC_GEO_043_002","0.8058419","spina bifida"
"5i254j9nu4508ya","MGI:1916330","Gmppa","C57BL","Early adult","IMPC_XRY_012_001","0.7903236","Pelvis"
"5i8a75x4j2646gx","MGI:1095412","Unc5c","C57BL","Early adult","IMPC_CBC_001_001","0.4666318","Sodium"
"5i98b979z682b6x","MGI:98397","Src","C57BL","Early adult","MGP_MLN_011_001","0.5546247","KLRG1+ Treg cells - % of Treg"
"5ib398g033x2p7a","MGI:2140361","Slc35d1","C57BL","Early adult","ESLIM_008_001_007","0.7459384","Transfer arousal"
"5id3f803i56l92x","MGI:1332243","Ugcg","C57BL","Early adult","IMPC_XRY_015_001","0.7103853","Number of lumbar vertebrae"
"5ifa7r384n72ola","MGI:3611450","Mettl21c","C57BL","Early adult","IMPC_DXA_009_001","0.8094546","Fat/Body weight"
"5ivxc252su23xnx","MGI:106637","Slc30a2","C57BL","E9.5","JAX_LDT_008_001","0.6490595","Percent time in dark"
"5j8jj56r2unpnfa","MGI:2140361","Slc35d1","C57BL","E18.5","MGP_MLN_080_001","0.4824764","Effector gd cells - % of CD45+"
"5j90ytr8w38410x","MGI:1919163","Tmem79","C57BL","Early adult","IMPC_CSD_006_001","0.9405863","Coat - color - head"
"5j9sa6i49ab2p4a","MGI:97850","Raly","C57BL","Early adult","IMPC_OFD_012_001","0.4351065","Periphery permanence time"
"5je5sgf53cj306x","MGI:1921263","Rftn2","C57BL","Early adult","IMPC_GEP_005_002","0.3184915","Responsive to tactile stimuli"
"5jj2p3emdkh4b8x","MGI:3588202","Garin4","C57BL","Early adult","MGP_MLN_076_001","0.6820144","Naive CD8+ T cells - % of CD45+"
"5jjt289n3yxbzhx","MGI:1916428","Snx5","C57BL","Early adult","IMPC_CSD_041_002","0.9722176","Hindpaw - size"
"5jq13c96o82reix","MGI:2684789","Lrsam1","C57BL","Early adult","IMPC_EYE_024_001","0.6950683","Retinal Blood Vessels"
"5k03220kuiy0u1x","MGI:1201673","Shox2","C57BL","E15.5","ESLIM_016_001_005","0.6269779","Mean cell volume"
"5k3zi76l1p8x2lx","MGI:2444631","Bltp1","C57BL","E12.5","MGP_IMM_011_001","0.8101861","Resting Treg cells - % of Treg"
"5k59n454me1ynma","MGI:1201673","Shox2","C57BL","E15.5","MGP_IMM_124_001","0.1442338","Monocytes - % of CD45+"
"5k832f59f75op3x","MGI:2154090","Igsf8","C57BL","Early adult","ESLIM_020_001_002","0.8849782","Heart weight"
"5kqq5sog5i5a5px","MGI:1350930","Srp9","C57BL","E9.5","MGP_IMM_086_001","0.1710839","CD5+ gd T cells - % of CD45+"
"5ky9qftomp5073x","MGI:1353665","Usp21","C57BL","Early adult","IMPC_EYE_070_001","0.225274","Left outer nuclear layer"
"5kz198dscxvm29a","MGI:88015","Ampd1","C57BL","E15.5","JAX_LDT_003_001","0.6861339","Time mobile light side"
"5lnh8t68048skox","MGI:1919084","Zbtb43","C57BL","Early adult","IMPC_OFD_018_001","0.29675","Latency to center entry"
"5m2538a86365l8x","MGI:2444508","Fitm2","C57BL","E15.5","IMPC_GEP_022_001","0.1496347","Embryo Size"
"5m300dh1gqo536x","MGI:1918316","Hsfy2","C57BL","Early adult","MGP_MLN_080_001","0.8862933","Effector gd cells - % of CD45+"
"5m314xh4tqv220a","MGI:108429","Lpar1","C57BL","E18.5","IMPC_GEP_083_001","0.3244887","Tongue out"
"5m4k1q5a181o31a","MGI:1921722","Stpg3","C57BL","Early adult","IMPC_CSD_033_001","0.2892156","Gait"
"5m8274tyy55593a","MGI:2140259","Zmynd12","C57BL","Early adult","IMPC_HWT_002_001","0.8671011","Tibia length"
"5m8y5ou0r83gzva","MGI:1920199","Ccnt2","C57BL","E12.5","IMPC_HEM_006_001","0.5233802","Mean corpuscular hemoglobin"
"5n332xskr490afx","MGI:2387617","Obp2a","C57BL","Early adult","IMPC_CBC_009_001","0.4520365","Calcium"
"5n5354nwj609x0a","MGI:1915282","Emc4","C57BL","Early adult","IMPC_GEM_068_001","0.3877084","Forebrain morphology"
"5na8112bb15q77a","MGI:87879","Aco1","C57BL","Early adult","IMPC_GEM_069_001","0.8062094","Hindbrain morphology"
"5nc81s0e34r710a","MGI:98386","Sptan1","C57BL","E15.5","JAX_LDT_009_001","0.1717048","Percent time in light"
"5nhib491oua268x","MGI:1916987","Ttl","C57BL","E12.5","MGP_IMM_010_001","0.2014707","Effector Treg cells - % of Treg"
"5nuhu8c858ir98x","MGI:104708","Cct3","C57BL","Early adult","IMPC_CSD_023_001","0.2667871","Vibrissae - presence"
"5nzru4906j1g7da","MGI:98960","Wnt6","C57BL","E15.5","ESLIM_020_001_004","0.4876029","Visual abnormality"
"5o775651msz75ha","MGI:1914210","Mindy3","C57BL","Early adult","MGP_MLN_012_001","0.3550374","Total CD8+ T cells - % of ab T cells"
"5o91v451933mw8x","MGI:1919128","Fam83d","C57BL","Early adult","MGP_CSD_027_001","0.06857793","Ventral coat/hair colour pattern"
"5oe97985l03ul5x","MGI:3588216","Ube2u","C57BL","Early adult","IMPC_HEM_032_001","0.5456344","Lymphocyte cell count"
"5og81310534vn1x","MGI:2684896","Maneal","C57BL","Early adult","ESLIM_015_001_004","0.5445581","Sodium"
"5oh85jl91w5th9x","MGI:1924817","Tram2","C57BL","Early adult","IMPC_XRY_021_001","4.57624e-06","Humerus"
"5oub785z94477ux","MGI:1914210","Mindy3","C57BL","Early adult","JAX_ROT_002_001","0.8531325","Average duration"
"5oz09g65042kawa","MGI:1931071","Sec61a2","C57BL","Early adult","IMPC_GEM_069_001","0.9201584","Hindbrain morphology"
"5p22032h72gd9da","MGI:1913420","Chchd5","C57BL","Early adult","IMPC_CSD_079_001","0.841751","Aggression"
"5p81px7a9b3211a","MGI:1927241","Wdr12","C57BL","E12.5","IMPC_ACS_006_001","0.3461374","Response amplitude - S"
"5p9by15094p5x8x","MGI:2444508","Fitm2","C57BL","Early adult","ESLIM_005_001_701","0.9747829","BMC/Body weight"
"5pq5ysze75n694x","MGI:102519","Cst3","C57BL","E15.5","MGP_IMM_040_001","0.3510222","Ly6C+ mature NK cells - % of mature NK cells"
"5psilzt1aga1ixx","MGI:1915599","Ndufs3","C57BL","Early adult","IMPC_HEM_005_001","0.820749","Mean cell volume"
"5q24glg642ggstx","MGI:1914210","Mindy3","C57BL","Early adult","ESLIM_015_001_004","0.6804335","Sodium"
"5q4470pw53y43pa","MGI:2679260","Crb2","C57BL","Early adult","MGP_IMM_093_001","0.3332776","Resting CD4- NKT cells - % of CD45+"
"5q6v6k886e1h7qx","MGI:107363","Stxbp1","C57BL","E18.5","JAX_OFD_022_001","0.7646524","Percentage center time"
"5q9fni7uhihcz9a","MGI:1341898","Nmur1","C57BL","Early adult","MGP_IMM_009_001","0.4275436","Total Treg cells - % of CD4+"
"5qg2ssp4pr20t0a","MGI:1916987","Ttl","C57BL","E12.5","M-G-P_005_001_003","0.6308284","Lean Mass"
"5qstw97u6tk18ux","MGI:101813","Coq3","C57BL","Early adult","ESLIM_008_001_007","0.5435615","Transfer arousal"
"5qt8a16a9q1v50a","MGI:1916428","Snx5","C57BL","Early adult","IMPC_HEM_004_001","0.9473475","Hematocrit"
"5r1b12338g612rx","MGI:1913692","Spc25","C57BL","E9.5","MGP_CSD_026_001","0.3743626","Ventral coat/hair colour"
"5r2jh82j48v91ga","MGI:1914199","Trim59","C57BL","E12.5","JAX_SLW_003_001","0.8498631","Sleep light phase percent"
"5r4238t8ro72mfx","MGI:2138198","D630023F18Rik","C57BL","Early adult","MGP_IMM_076_001","0.3420258","Total Treg cells - % of CD45+"
"5r46uaeu17f155a","MGI:98960","Wnt6","C57BL","Early adult","IMPC_ECG_014_001","0.8060453","rMSSD"
"5r49myagsg9j76a","MGI:97803","Ptma","C57BL","E9.5","IMPC_ECG_006_001","0.4048036","PR"
"5r8nk78ajd0a7va","MGI:2681832","Cspp1","C57BL","Early adult","IMPC_HEM_030_001","0.9599405","Neutrophil cell count"
"5rmhp8a2wl29ktx","MGI:1922828","Fggy","C57BL","Early adult","MGP_IMM_013_001","0.6470624","Total CD8+ T cells - % of ab T cells"
"5rxxnz5226096ta","MGI:95975","Ifi44l","C57BL","Early adult","CCP_LDT_004_001","0.1055934","Dark side time spent"
"5s4f2l9om75669a","MGI:2685195","Zbtb34","C57BL","E9.5","JAX_OFD_012_001","0.3259731","Periphery permanence time"
"5s5gg3w1vxxosox","MGI:1095412","Unc5c","C57BL","Late adult","MGP_MLN_079_001","0.3082403","CD5+ gd T cells - % of CD45+"
"5s6f8y2oqc09pha","MGI:3650206","Gm12695","C57BL","Early adult","MGP_MLN_003_001","0.1764976","Total CD4+ T cells - % of ab T cells"
"5so7t4m0m94ji3a","MGI:1915862","Ube2c","C57BL","E18.5","MGP_CSD_068_001","0.4503096","Vibrissae"
"5sv09e5u6tp5x5a","MGI:2384297","Map7d1","C57BL","E18.5","IMPC_GEO_065_001","0.6566508","Limb morphology"
"5syp9gqi96m535a","MGI:97850","Raly","C57BL","Early adult","IMPC_OFD_016_001","0.9325511","Center permanence time"
"5t66h521y53940a","MGI:2384297","Map7d1","C57BL","E12.5","MGP_IMM_016_001","0.8989755","Naive CD8+ T cells - % of CD8+"
"5t6s6b31o42s70a","MGI:1919300","Poglut2","C57BL","Early adult","IMPC_CSD_078_001","0.09647303","Vocalization"
"5t9xn6ce54aj9xa","MGI:2140361","Slc35d1","C57BL","Early adult","IMPC_CBC_012_001","0.2460483","Aspartate aminotransferase"
"5tb17299poe06ta","MGI:1351315","Eloa","C57BL","Early adult","CCP_LDT_008_001","0.9780683","Percent time in light"
"5td0lg3kz183w9x","MGI:107363","Stxbp1","C57BL","E9.5","IMPC_CSD_029_001","0.1791329","Activity (body position)"
"5tf7f19wa2j611x","MGI:2140361","Slc35d1","C57BL","E12.5","IMPC_XRY_022_001","0.5196633","Radius"
"5th1w215gwoc7pa","MGI:104708","Cct3","C57BL","E9.5","IMPC_CSD_016_001","0.272179","Coat - hair texture / appearance - abdomen"
"5thg43u2zv99o3a","MGI:97850","Raly","C57BL","Early adult","MGP_IMM_006_001","0.9517808","Effector CD4+ T helper cells - % of CD4+ T helper cells"
"5tt7l3p06saiita","MGI:1923304","Prrc2b","C57BL","Early adult","IMPC_HEM_037_001","0.4640739","Basophil cell count"
"5ttt95p9k219njx","MGI:98386","Sptan1","C57BL","E15.5","MGP_CSD_008_001","0.7241312","Startle response"
"5twc33p72z5852a","MGI:1096385","Bcan","C57BL","Early adult","IMPC_EYE_056_001","0.6788039","Mean left eye lens density"
"5uhk992nxkej33x","MGI:1922828","Fggy","C57BL","Early adult","IMPC_XRY_021_001","0.3517502","Humerus"
"5un41z8oq5geh4a","MGI:1927241","Wdr12","C57BL","E12.5","IMPC_FEA_106_001","0.9164784","Difference in Cue Tone and Cue Baseline % Freezing"
"5uqt4q0he0ii60a","MGI:3646006","Gm5148","C57BL","Early adult","HRWL_OWT_001_001","0.9463777","Spleen weight"
"5v132459x2vw11x","MGI:2443564","Ambra1","C57BL","E15.5","HMGULA_DYS_014_001","0.5804894","Coat - hair texture / appearance - back"
"5v626gg0hxr737a","MGI:1915643","Mogat1","C57BL","Late adult","MGP_IMM_130_001","0.2055674","CD11b-low cDC - % of CD45+"
"5v8979tjb0y42zx","MGI:2443564","Ambra1","C57BL","E12.5","IMPC_CBC_003_001","0.460216","Chloride"
"5va3yt45vs72r9a","MGI:98386","Sptan1","C57BL","E15.5","IMPC_ECH_018_001","0.6401514","Respiration Rate"
"5vcgvg9mym4344x","MGI:2444631","Bltp1","C57BL","Early adult","IMPC_XRY_023_001","0.2418301","Ulna"
"5vf90l6rg6l5z4a","MGI:1201673","Shox2","C57BL","E12.5","MGP_MLN_078_001","0.8479075","Total gd T cells - % of CD45+"
"5vsg64nft84kx2x","MGI:1919051","Plekhf2","C57BL","Early adult","IMPC_CSD_014_001","0.9035427","Coat - hair texture / appearance - back"
"5w1r1b0ows4m1fx","MGI:2140050","Ints3","C57BL","Early adult","IMPC_GEM_069_001","0.8940201","Hindbrain morphology"
"5w2ou26f4w343qx","MGI:1353665","Usp21","C57BL","Early adult","IMPC_OFD_013_001","0.4999452","Periphery average speed"
"5w36s873t1lx2lx","MGI:1915862","Ube2c","C57BL","E18.5","IMPC_GEP_005_002","0.9709279","Responsive to tactile stimuli"
"5w3p3315267de0x","MGI:2444631","Bltp1","C57BL","Early adult","IMPC_XRY_055_001","0.4786874","Shape of spine"
"5w5xpslott2t4mx","MGI:1921607","Efhd1","C57BL","Early adult","IMPC_EYE_023_001","0.4742645","Optic Disc"
"5w6h5eyup3lwmox","MGI:1916987","TTL","C57BL","E12.5","MGP_CSD_027_001","0.5147917","Ventral coat/hair colour pattern"
"5wv33vihm01884a","MGI:87879","Aco1","C57BL","Early adult","ESLIM_006_001_030","0.4831722","Shape of vertebrae"
"5x669w601r4pv5a","MGI:1919084","Zbtb43","C57BL","Early adult","IMPC_OFD_010_001","0.6903216","Periphery distance travelled"
"5x79o25ydl1r8ax","MGI:1922776","Eppin","C57BL","Early adult","IMPC_CBC_009_001","0.5878785","Calcium"
"5x983sw2556323x","MGI:1925835","Jade1","C57BL","Early adult","IMPC_GEP_034_001","0.2329305","Skin Appearance"
"5x990lqa0z0rh9x","MGI:103300","Rbl1","C57BL","Early adult","JAX_OFD_014_001","0.08329098","Center distance travelled"
"5xu6nn3j433677a","MGI:1921607","Efhd1","C57BL","Early adult","IMPC_EYE_026_001","0.6406004","Retinal Blood Vessels Pattern"
"5y38316z35v18xa","MGI:2443564","Ambra1","C57BL","Early adult","CCP_XRY_061_001","0.8793388","Fusion of processes"
"5y56941y8ggc13x","MGI:2444681","Hhat","C57BL","Early adult","IMPC_XRY_060_001","0.1315817","Transitional vertebrae"
"5y5x2v3s21i252x","MGI:1923381","Depdc1a","C57BL","Early adult","IMPC_CSD_029_001","0.8874869","Activity (body position)"
"5y754km5rw15v7a","MGI:1923676","Fam209","C57BL","Early adult","MGP_IMM_130_001","0.09128253","CD11b-low cDC - % of CD45+"
"5y8v55j54k3bl2x","MGI:1921607","Efhd1","C57BL","Early adult","MGP_IMM_013_001","0.8048837","Total CD8+ T cells - % of ab T cells"
"5yk160f8euwud3a","MGI:97383","Ntrk1","C57BL","Early adult","UCD_OWT_003_001","0.5079049","Spleen weight"
"5yp8d509lfrnuoa","MGI:1919369","Tpx2","C57BL","E9.5","CCP_XRY_031_001","0.6817854","Digit integrity"
"5yv9o607i121l8a","MGI:1351315","Eloa","C57BL","Early adult","CCP_XRY_031_001","0.5892283","Digit integrity"
"5z0cja52844ar6x","MGI:1915643","Mogat1","C57BL","Early adult","IMPC_XRY_006_001","0.3311237","Scapulae"
"5z387fb705zqerx","MGI:1350930","Srp9","C57BL","E12.5","IMPC_IMM_028_002","0.826906","Effector CD4+ T helper cells - % of live leukocytes (Panel A)"
