parameter_mapping,parameter_name,parameter_description,parameter_id,description
2828,52063,Acclimatisation time (minimum),IMPC_YMZ_011_001,"Acclimatisation time (minimum) acclimatisation_time_minimum, "
2829,52064,Arm dimensions,IMPC_YMZ_012_001,"Arm dimensions arm_dimensions, "
2830,52065,Light level,IMPC_YMZ_013_001,"Light level light_level, "
2831,52067,Placement in start arm,IMPC_YMZ_015_001,"Placement in start arm placement_in_start_arm, "
2832,52068,Cleaning agent/disinfectant,IMPC_YMZ_016_001,"Cleaning agent/disinfectant cleaning_agent_disinfectant, "
2833,52069,Tracking method,IMPC_YMZ_017_001,"Tracking method tracking_method, "
2834,52070,Scoring method,IMPC_YMZ_018_001,"Scoring method scoring_method, "
2835,52071,Duration at centre prior to arm re-entry,IMPC_YMZ_019_001,"Duration at centre prior to arm re-entry duration_at_centre_prior_to_arm_re_entry, "
2836,52072,Experimenter ID,IMPC_YMZ_020_001,"Experimenter ID experimenter_id, "
2837,52073,Maze ID,IMPC_YMZ_021_001,"Maze ID maze_id, "
2838,52074,Maze manufacturer,IMPC_YMZ_022_001,"Maze manufacturer maze_manufacturer, "
2839,52075,Maze model,IMPC_YMZ_023_001,"Maze model maze_model, "
2840,52076,Tracking equipment ID,IMPC_YMZ_024_001,"Tracking equipment ID tracking_equipment_id, "
2841,52077,Tracking equipment manufacturer,IMPC_YMZ_025_001,"Tracking equipment manufacturer tracking_equipment_manufacturer, "
2842,52078,Tracking equipment model,IMPC_YMZ_026_001,"Tracking equipment model tracking_equipment_model, "
2843,52079,Date tracking equipment last calibrated,IMPC_YMZ_027_001,"Date tracking equipment last calibrated date_tracking_equipment_last_calibrated, "
2844,52080,Software,IMPC_YMZ_028_001,"Software software, "
2845,52081,Alternating start arm,IMPC_YMZ_029_001,"Alternating start arm NA, "
2846,52084,Side changes,IMPC_LDT_001_001,"Side changes side_changes, "
2847,52085,Light side time spent,IMPC_LDT_002_001,"Light side time spent light_side_time_spent, "
2848,52086,Time mobile light side,IMPC_LDT_003_001,"Time mobile light side time_mobile_light_side, "
2849,52087,Dark side time spent,IMPC_LDT_004_001,"Dark side time spent dark_side_time_spent, "
2850,52088,Time mobile dark side,IMPC_LDT_005_001,"Time mobile dark side time_mobile_dark_side, "
2851,52089,Latency to first transition into dark,IMPC_LDT_006_001,"Latency to first transition into dark latency_to_first_transition_into_dark, "
2852,52090,Percent time in dark,IMPC_LDT_007_001,"Percent time in dark percent_time_in_dark, "
2853,52091,Percent time in light,IMPC_LDT_008_001,"Percent time in light percent_time_in_light, "
2854,52092,Transition,IMPC_LDT_009_001,"Transition transition, "
2855,52093,Light side distance travelled,IMPC_LDT_010_001,"Light side distance travelled light_side_distance_travelled, "
2856,52094,Dark side distance travelled,IMPC_LDT_011_001,"Dark side distance travelled dark_side_distance_travelled, "
2857,52095,Vertical activity (rearing),IMPC_LDT_012_001,"Vertical activity (rearing) vertical_activity_rearing, "
2858,52096,Horizontal activity,IMPC_LDT_013_001,"Horizontal activity horizontal_activity, "
2859,52097,Repetitive beam break ('stereotypy counts'),IMPC_LDT_014_001,"Repetitive beam break ('stereotypy counts') repetitive_beam_break_stereotypy_counts, "
2860,52098,Total distance travelled,IMPC_LDT_015_001,"Total distance travelled total_distance_travelled, "
2861,52099,Light level light chamber,IMPC_LDT_016_001,"Light level light chamber light_level_light_chamber, "
2862,52100,Light level dark chamber,IMPC_LDT_017_001,"Light level dark chamber light_level_dark_chamber, "
2863,52101,Experimenter ID,IMPC_LDT_018_001,"Experimenter ID experimenter_id, "
2864,52102,Start time,IMPC_LDT_019_001,"Start time start_time, "
2865,52103,Arena ID,IMPC_LDT_020_001,"Arena ID arena_id, "
2866,52104,Arena version,IMPC_LDT_021_001,"Arena version arena_version, "
2867,52105,Equipment ID,IMPC_LDT_022_001,"Equipment ID equipment_id, "
2868,52106,Equipment manufacturer,IMPC_LDT_023_001,"Equipment manufacturer equipment_manufacturer, "
2869,52107,Equipment model,IMPC_LDT_024_001,"Equipment model equipment_model, "
2870,52108,Disinfectant,IMPC_LDT_025_001,"Disinfectant disinfectant, "
2871,52109,Starting position,IMPC_LDT_026_001,"Starting position starting_position, "
2872,52110,Light-Dark box's walls opaque,IMPC_LDT_027_001,"Light-Dark box's walls opaque light_dark_box_s_walls_opaque, "
2873,52111,Light-Dark box set-up,IMPC_LDT_028_001,"Light-Dark box set-up light_dark_box_set_up, "
2874,52112,Light side arena dimensions (L x W x H; in mm),IMPC_LDT_029_001,"Light side arena dimensions (L x W x H; in mm) light_side_arena_dimensions_l_x_w_x_h_in_mm, "
2875,52113,Dark side arena dimensions (L x W x H; in mm),IMPC_LDT_030_001,"Dark side arena dimensions (L x W x H; in mm) dark_side_arena_dimensions_l_x_w_x_h_in_mm, "
2876,52114,Entry way dimensions (L x W x H; in mm),IMPC_LDT_031_001,"Entry way dimensions (L x W x H; in mm) entry_way_dimensions_l_x_w_x_h_in_mm, "
2877,67722,Time spent in the light side in the first 5 minutes,IMPC_LDT_032_001,"Time spent in the light side in the first 5 minutes , "
2878,67723,Test duration,IMPC_LDT_033_001,"Test duration , "
2879,67724,Software version,IMPC_LDT_034_001,"Software version , "
2880,21172,White blood cell count,IMPC_HEM_001_001,"White blood cell count white_blood_cell_count, "
2881,21173,Red blood cell count,IMPC_HEM_002_001,"Red blood cell count red_blood_cell_count, "
2882,21174,Hemoglobin,IMPC_HEM_003_001,"Hemoglobin hemoglobin, "
2883,21175,Hematocrit,IMPC_HEM_004_001,"Hematocrit hematocrit, "
2884,21176,Mean cell volume,IMPC_HEM_005_001,"Mean cell volume mean_cell_volume, "
2885,21177,Mean corpuscular hemoglobin,IMPC_HEM_006_001,"Mean corpuscular hemoglobin mean_corpuscular_hemoglobin, "
2886,21178,Mean cell hemoglobin concentration,IMPC_HEM_007_001,"Mean cell hemoglobin concentration mean_cell_hemoglobin_concentration, "
2887,21179,Platelet count,IMPC_HEM_008_001,"Platelet count platelet_count, "
2888,21180,Equipment ID,IMPC_HEM_009_001,"Equipment ID equipment_name, "
2889,21181,Equipment manufacturer,IMPC_HEM_010_001,"Equipment manufacturer equipment_manufacturer, "
2890,21182,Equipment model,IMPC_HEM_011_001,"Equipment model equipment_model, "
2891,21183,Anesthesia used for blood collection,IMPC_HEM_012_001,"Anesthesia used for blood collection anesthesia_used_for_blood_collection, "
2892,21184,Method of blood collection,IMPC_HEM_013_001,"Method of blood collection method_of_blood_collection, "
2893,21185,Anticoagulant,IMPC_HEM_014_001,"Anticoagulant anticoagulant, "
2894,21186,Samples kept on ice between collection and analysis,IMPC_HEM_018_001,"Samples kept on ice between collection and analysis samples_kept_on_ice_between_collection_and_analysis_, "
2895,21187,ID for blood collection SOP,IMPC_HEM_020_001,"ID for blood collection SOP id_for_blood_collection_sop, "
2896,21188,Date and time of blood collection,IMPC_HEM_021_001,"Date and time of blood collection date_and_time_of_blood_collection, "
2897,21189,Date of measurement,IMPC_HEM_022_001,"Date of measurement date_of_measurement, "
2898,21190,Chip card number,IMPC_HEM_023_001,"Chip card number chip_card_number, "
2899,21191,Blood collection experimenter ID,IMPC_HEM_024_001,"Blood collection experimenter ID , "
2900,21192,Date equipment last calibrated,IMPC_HEM_025_001,"Date equipment last calibrated , "
2901,21193,Storage temperature from blood collection until measurement,IMPC_HEM_026_001,"Storage temperature from blood collection until measurement NA, "
2902,21194,Blood collection tubes,IMPC_HEM_015_001,"Blood collection tubes , "
2903,21195,Date and time of sacrifice,IMPC_HEM_016_001,"Date and time of sacrifice NA, "
2904,21196,Blood analysis experimenter ID,IMPC_HEM_017_001,"Blood analysis experimenter ID , "
2905,21197,Mean platelet volume,IMPC_HEM_019_001,"Mean platelet volume , "
2906,21198,Red blood cell distribution width,IMPC_HEM_027_001,"Red blood cell distribution width , "
2907,40531,Placenta Development,IMPC_GPP_001_001,"Placenta Development placenta_development, "
2908,40532,Placenta Morphology,IMPC_GPP_002_001,"Placenta Morphology placenta_morphology, "
2909,40533,Placenta Vasculature,IMPC_GPP_003_001,"Placenta Vasculature placenta_vasculature, "
2910,40534,Placenta Size,IMPC_GPP_004_001,"Placenta Size placenta_size, "
2911,40535,Umbilical cord morphology,IMPC_GPP_005_001,"Umbilical cord morphology umbilical_cord_morphology, "
2912,40536,Comment on image,IMPC_GPP_006_001,"Comment on image comment_on_image, "
2913,40537,Images,IMPC_GPP_007_001,"Images images, "
2914,40538,Experimenter ID,IMPC_GPP_008_001,"Experimenter ID experimenter_id, "
2915,40539,Equipment ID,IMPC_GPP_009_001,"Equipment ID equipment_id, "
2916,40540,Equipment Manufacturer,IMPC_GPP_010_001,"Equipment Manufacturer equipment_manufacturer, "
2917,40541,Equipment Model,IMPC_GPP_011_001,"Equipment Model equipment_model, "
2918,40542,Fixative,IMPC_GPP_012_001,"Fixative fixative, "
2919,40543,Time of Dissection,IMPC_GPP_013_001,"Time of Dissection time_of_dissection, "
2920,40544,Somite Stage,IMPC_GPP_014_001,"Somite Stage somite_stage, "
2921,40545,Time of dark cycle start,IMPC_GPP_015_001,"Time of dark cycle start time_of_dark_cycle_start, "
2922,40546,Time of dark cycle end,IMPC_GPP_016_001,"Time of dark cycle end time_of_dark_cycle_end, "
2923,40547,Date equipment last calibrated,IMPC_GPP_017_001,"Date equipment last calibrated date_equipment_last_calibrated, "
2924,40548,Placenta color,IMPC_GPP_018_001,"Placenta color NA, "
2925,31377,Viability Outcome,IMPC_VIA_001_001,"Viability Outcome , "
2926,31378,Additional Outcome,IMPC_VIA_002_001,"Additional Outcome , "
2927,31379,Total pups,IMPC_VIA_003_001,"Total pups , "
2928,31380,Total pups WT,IMPC_VIA_004_001,"Total pups WT , "
2929,31381,Total pups heterozygous,IMPC_VIA_005_001,"Total pups heterozygous , "
2930,31382,Total pups homozygous,IMPC_VIA_006_001,"Total pups homozygous , "
2931,31383,Total male WT,IMPC_VIA_007_001,"Total male WT , "
2932,31384,Total male heterozygous,IMPC_VIA_008_001,"Total male heterozygous , "
2933,31385,Total male homozygous,IMPC_VIA_009_001,"Total male homozygous , "
2934,31386,Total male pups,IMPC_VIA_010_001,"Total male pups , "
2935,31387,Total female WT,IMPC_VIA_011_001,"Total female WT , "
2936,31388,Total female heterozygous,IMPC_VIA_012_001,"Total female heterozygous , "
2937,31389,Total female homozygous,IMPC_VIA_013_001,"Total female homozygous , "
2938,31390,Total female pups,IMPC_VIA_014_001,"Total female pups , "
2939,31391,% pups WT,IMPC_VIA_015_001,"% pups WT NA, "
2940,31392,Free Comment,IMPC_VIA_016_001,"Free Comment , "
2941,31393,Average litter size,IMPC_VIA_017_001,"Average litter size , "
2942,31394,% pups heterozygous,IMPC_VIA_018_001,"% pups heterozygous , "
2943,31395,% pups homozygous,IMPC_VIA_019_001,"% pups homozygous , "
2944,31396,% male WT,IMPC_VIA_020_001,"% male WT , "
2945,31397,% male heterozygous,IMPC_VIA_021_001,"% male heterozygous , "
2946,31398,% male homozygous,IMPC_VIA_022_001,"% male homozygous , "
2947,31399,% female WT,IMPC_VIA_023_001,"% female WT , "
2948,31400,% female heterozygous,IMPC_VIA_024_001,"% female heterozygous , "
2949,31401,% female homozygous,IMPC_VIA_025_001,"% female homozygous , "
2950,31402,Female age earliest start,IMPC_VIA_026_001,"Female age earliest start , "
2951,31403,Female age oldest end,IMPC_VIA_027_001,"Female age oldest end , "
2952,31404,Time of dark cycle start,IMPC_VIA_028_001,"Time of dark cycle start , "
2953,31405,Time of dark cycle end,IMPC_VIA_029_001,"Time of dark cycle end , "
2954,31406,Age of pups at genotype,IMPC_VIA_030_001,"Age of pups at genotype , "
2955,31407,Breeding Strategy,IMPC_VIA_031_001,"Breeding Strategy , "
2956,31408,P-value for outcome call,IMPC_VIA_032_001,"P-value for outcome call , "
2957,31409,Additional Subviable Outcome,IMPC_VIA_033_001,"Additional Subviable Outcome NA, "
2958,67597,Welfare terms,IMPC_WEL_001_001,"Welfare terms Welfare term(s) that categorise the issue(s), "
2959,67598,Free-text comments,IMPC_WEL_002_001,"Free-text comments Free-text comments describing the welfare issue(s), "
2960,67599,Images,IMPC_WEL_003_001,"Images Images to visually document welfare issue(s), "
2961,67600,Date of observation,IMPC_WEL_004_001,"Date of observation Date the welfare issue(s) were observed, "
2962,74120,Animal Status,IMPC_WEL_005_001,"Animal Status , "
2963,40655,Embryo reconstruction,IMPC_EOL_001_001,"Embryo reconstruction , "
2964,40656,Experimenter ID,IMPC_EOL_002_001,"Experimenter ID NA, "
2965,40657,Equipment ID,IMPC_EOL_003_001,"Equipment ID NA, "
2966,40658,Equipment Manufacturer,IMPC_EOL_004_001,"Equipment Manufacturer NA, "
2967,40659,Equipment Model,IMPC_EOL_005_001,"Equipment Model NA, "
2968,40660,Image Pixel Size,IMPC_EOL_006_001,"Image Pixel Size NA, "
2969,40661,E9.5 OPT preperation protocol,IMPC_EOL_007_001,"E9.5 OPT preperation protocol NA, "
2970,40662,Date equipment last calibrated,IMPC_EOL_008_001,"Date equipment last calibrated NA, "
2971,40663,Date of Sacrifice,IMPC_EOL_009_001,"Date of Sacrifice NA, "
2972,40664,Date Preparation Finished,IMPC_EOL_010_001,"Date Preparation Finished NA, "
2973,40665,Date of Scan,IMPC_EOL_011_001,"Date of Scan NA, "
2974,40666,Screenshots,IMPC_EOL_012_001,"Screenshots , "
2975,52270,Embryo reconstruction,IMPC_EMO_001_001,"Embryo reconstruction , "
2976,52271,Experimenter ID,IMPC_EMO_002_001,"Experimenter ID NA, "
2977,52272,Equipment ID,IMPC_EMO_003_001,"Equipment ID NA, "
2978,52273,Equipment Manufacturer,IMPC_EMO_004_001,"Equipment Manufacturer NA, "
2979,52274,Equipment Model,IMPC_EMO_005_001,"Equipment Model NA, "
2980,52275,Equipment Version,IMPC_EMO_006_001,"Equipment Version NA, "
2981,52276,Image Pixel Size,IMPC_EMO_007_001,"Image Pixel Size NA, "
2982,52277,E14.5-E15.5 MicroCT Preparation protocol,IMPC_EMO_008_001,"E14.5-E15.5 MicroCT Preparation protocol , "
2983,52278,Object to Source,IMPC_EMO_009_001,"Object to Source NA, "
2984,52279,Camera to Source,IMPC_EMO_010_001,"Camera to Source NA, "
2985,52280,Date equipment last calibrated,IMPC_EMO_011_001,"Date equipment last calibrated NA, "
2986,52281,Date of Sacrifice,IMPC_EMO_012_001,"Date of Sacrifice NA, "
2987,52282,Date Preparation Finished,IMPC_EMO_013_001,"Date Preparation Finished NA, "
2988,52283,Date of Scan,IMPC_EMO_014_001,"Date of Scan NA, "
2989,52284,Source Voltage,IMPC_EMO_015_001,"Source Voltage NA, "
2990,52285,Source Current,IMPC_EMO_016_001,"Source Current NA, "
2991,52286,Screenshots,IMPC_EMO_017_002,"Screenshots , "
2992,52287,3rd ventricle,IMPC_EMO_018_001,"3rd ventricle 3rd_ventricle, "
2993,52288,Median sulcus,IMPC_EMO_019_001,"Median sulcus median_sulcus, "
2994,52289,4th ventricle,IMPC_EMO_020_001,"4th ventricle 4th_ventricle, "
2995,52290,Adrenal gland,IMPC_EMO_021_001,"Adrenal gland adrenal_gland, "
2996,52291,Aorta,IMPC_EMO_022_001,"Aorta aorta, "
2997,52292,Arch of aorta,IMPC_EMO_023_001,"Arch of aorta arch_of_aorta, "
2998,52293,Heart atrium,IMPC_EMO_024_001,"Heart atrium heart_atrium, "
2999,52294,basioccipital bone,IMPC_EMO_025_001,"basioccipital bone basioccipital_bone, "
3000,52295,Bladder,IMPC_EMO_026_001,"Bladder bladder, "
3001,52296,Bronchus,IMPC_EMO_027_001,"Bronchus bronchus, "
3002,52297,Brown fat,IMPC_EMO_028_001,"Brown fat brown_fat, "
3003,52298,Dorsal root ganglia,IMPC_EMO_029_001,"Dorsal root ganglia dorsal_root_ganglia, "
3004,52299,Carotid artery,IMPC_EMO_030_001,"Carotid artery carotid_artery, "
3005,52300,Cerbral aqueduct,IMPC_EMO_031_001,"Cerbral aqueduct cerbral_aqueduct, "
3006,52301,Cerebellum,IMPC_EMO_032_001,"Cerebellum cerebellum, "
3007,52302,4th ventricle choroid plexus,IMPC_EMO_033_001,"4th ventricle choroid plexus 4th_ventricle_choroid_plexus, "
3008,52303,lateral ventricle choroid plexus,IMPC_EMO_034_001,"lateral ventricle choroid plexus lateral_ventricle_choroid_plexus, "
3009,52304,Clavicle,IMPC_EMO_035_001,"Clavicle clavicle, "
3010,52305,Cochlea,IMPC_EMO_036_001,"Cochlea cochlea, "
3011,52306,Cerebral cortex,IMPC_EMO_037_001,"Cerebral cortex cerebral_cortex, "
3012,52307,Ductus arteriosus,IMPC_EMO_038_001,"Ductus arteriosus ductus_arteriosus, "
3013,52308,Diaphragm,IMPC_EMO_039_001,"Diaphragm diaphragm, "
3014,52309,Diencephalon,IMPC_EMO_040_001,"Diencephalon diencephalon, "
3015,52310,Limb digit,IMPC_EMO_041_001,"Limb digit limb_digit, "
3016,52311,Dorsal aorta,IMPC_EMO_042_001,"Dorsal aorta dorsal_aorta, "
3017,52312,Duodenum,IMPC_EMO_043_001,"Duodenum duodenum, "
3018,52313,Ejaculatory duct,IMPC_EMO_044_001,"Ejaculatory duct ejaculatory_duct, "
3019,52314,Spinal cord cervical region,IMPC_EMO_045_001,"Spinal cord cervical region spinal_cord_cervical_region, "
3020,52315,Epiglottis,IMPC_EMO_046_001,"Epiglottis epiglottis, "
3021,52316,Esophagus,IMPC_EMO_047_001,"Esophagus esophagus, "
3022,52317,Pharyngo-tympanic tube,IMPC_EMO_048_001,"Pharyngo-tympanic tube pharyngo_tympanic_tube, "
3023,52318,Exoccipital bone,IMPC_EMO_049_001,"Exoccipital bone exoccipital_bone, "
3024,52319,Eyelid,IMPC_EMO_050_001,"Eyelid eyelid, "
3025,52320,Femur,IMPC_EMO_051_001,"Femur femur, "
3026,52321,Fibula,IMPC_EMO_052_001,"Fibula fibula, "
3027,52322,T1 rib,IMPC_EMO_053_001,"T1 rib t1_rib, "
3028,52323,Soft palate,IMPC_EMO_054_001,"Soft palate soft_palate, "
3029,52324,Palate,IMPC_EMO_055_001,"Palate palate, "
3030,52325,Gallbladder,IMPC_EMO_056_001,"Gallbladder gallbladder, "
3031,52326,Gluteus maximus,IMPC_EMO_057_001,"Gluteus maximus  gluteus_maximus, "
3032,52327,Hepatic duct,IMPC_EMO_058_001,"Hepatic duct hepatic_duct, "
3033,52328,Midgut,IMPC_EMO_059_001,"Midgut midgut, "
3034,52329,herniated abdominal wall,IMPC_EMO_060_001,"herniated abdominal wall herniated_abdominal_wall, "
3035,52330,Hindbrain,IMPC_EMO_061_001,"Hindbrain hindbrain, "
3036,52331,Hindgut,IMPC_EMO_062_001,"Hindgut hindgut, "
3037,52332,Hip,IMPC_EMO_063_001,"Hip hip, "
3038,52333,Hippocampus,IMPC_EMO_064_001,"Hippocampus hippocampus, "
3039,52334,Humerus,IMPC_EMO_065_001,"Humerus humerus, "
3040,52335,Hyaloid cavity,IMPC_EMO_066_001,"Hyaloid cavity hyaloid_cavity, "
3041,52336,Hyoid bone,IMPC_EMO_067_001,"Hyoid bone hyoid_bone, "
3042,52337,Hypothalamus,IMPC_EMO_068_001,"Hypothalamus hypothalamus, "
3043,52338,Inferior vena cava,IMPC_EMO_069_001,"Inferior vena cava  inferior_vena_cava, "
3044,52339,Pituitary gland,IMPC_EMO_070_001,"Pituitary gland pituitary_gland, "
3045,52340,Pigmented retinal epiithelium,IMPC_EMO_071_001,"Pigmented retinal epiithelium pigmented_retinal_epiithelium, "
3046,52341,Innominate artery,IMPC_EMO_072_001,"Innominate artery innominate_artery, "
3047,52342,Interventricular septum,IMPC_EMO_073_001,"Interventricular septum interventricular_septum, "
3048,52343,Intraretinal space,IMPC_EMO_074_001,"Intraretinal space intraretinal_space, "
3049,52344,Vomeronasal organ,IMPC_EMO_075_001,"Vomeronasal organ vomeronasal_organ, "
3050,52345,Jejunum,IMPC_EMO_076_001,"Jejunum jejunum, "
3051,52346,Jugular lymph sac,IMPC_EMO_077_001,"Jugular lymph sac jugular_lymph_sac, "
3052,52347,Kidney,IMPC_EMO_078_001,"Kidney kidney, "
3053,52348,Kidney pelvis,IMPC_EMO_079_001,"Kidney pelvis kidney_pelvix, "
3054,52349,Renal cortex,IMPC_EMO_080_001,"Renal cortex renal_cortex, "
3055,52350,Renal medulla,IMPC_EMO_081_001,"Renal medulla renal_medulla, "
3056,52351,Larynx,IMPC_EMO_082_001,"Larynx larynx, "
3057,52352,Lateral ventricle,IMPC_EMO_083_001,"Lateral ventricle lateral_ventricle, "
3058,52353,Lens,IMPC_EMO_084_001,"Lens lens, "
3059,52354,Limb muscle,IMPC_EMO_085_001,"Limb muscle limb_muscle, "
3060,52355,Liver,IMPC_EMO_086_001,"Liver liver, "
3061,52356,Liver lobe,IMPC_EMO_087_001,"Liver lobe liver_lobe, "
3062,52357,Liver caudate lobe,IMPC_EMO_088_001,"Liver caudate lobe liver_caudate_lobe, "
3063,52358,Ductus venosus,IMPC_EMO_089_001,"Ductus venosus ductus_venosus, "
3064,52359,Liver left lobe,IMPC_EMO_090_001,"Liver left lobe liver_left_lobe, "
3065,52360,Liver right lobe,IMPC_EMO_091_001,"Liver right lobe liver_right_lobe, "
3066,52361,Lower jaw molar,IMPC_EMO_092_001,"Lower jaw molar lower_jaw_molar, "
3067,52362,Right lung cranial lobe,IMPC_EMO_093_001,"Right lung cranial lobe right_lung_cranial_lobe, "
3068,52363,Right lung accessory lobe,IMPC_EMO_094_001,"Right lung accessory lobe right_lung_accessory_lobe, "
3069,52364,Right lung caudal lobe,IMPC_EMO_095_001,"Right lung caudal lobe right_lung_caudal_lobe, "
3070,52365,Left lung,IMPC_EMO_096_001,"Left lung left_lung, "
3071,52366,Right lung middle lobe,IMPC_EMO_097_001,"Right lung middle lobe right_lung_middle_lobe, "
3072,52367,Mandible,IMPC_EMO_098_001,"Mandible mandible, "
3073,52368,Masseter,IMPC_EMO_099_001,"Masseter masseter, "
3074,52369,Meckel's cartilage,IMPC_EMO_100_001,"Meckel's cartilage meckel_s_cartilage, "
3075,52370,Medulla oblongata,IMPC_EMO_101_001,"Medulla oblongata medulla_oblongata, "
3076,52371,Midbrain,IMPC_EMO_102_001,"Midbrain midbrain, "
3077,52372,Midbrain roof plate,IMPC_EMO_103_001,"Midbrain roof plate midbrain_roof_plate, "
3078,52373,Mitral valve,IMPC_EMO_104_001,"Mitral valve mitral_valve, "
3079,52374,Nasal capsule,IMPC_EMO_105_001,"Nasal capsule nasal_capsule, "
3080,52375,Nasal cavity,IMPC_EMO_106_001,"Nasal cavity nasal_cavity, "
3081,52376,Nasal septum,IMPC_EMO_107_001,"Nasal septum nasal_septum, "
3082,52377,Nasopharynx,IMPC_EMO_108_001,"Nasopharynx nasopharynx, "
3083,52378,Neural retina,IMPC_EMO_109_001,"Neural retina neural_retina, "
3084,52379,Olfactory epithelium,IMPC_EMO_110_001,"Olfactory epithelium olfactory_epithelium, "
3085,52380,Olfactory lobe,IMPC_EMO_111_001,"Olfactory lobe olfactory_lobe, "
3086,52381,Optic nerve,IMPC_EMO_112_001,"Optic nerve optic_nerve, "
3087,52382,Oropharynx,IMPC_EMO_113_001,"Oropharynx oropharynx, "
3088,52383,Oral cavity,IMPC_EMO_114_001,"Oral cavity oral_cavity, "
3089,52384,Ovary,IMPC_EMO_115_001,"Ovary ovary, "
3090,52385,Palatal shelf,IMPC_EMO_116_001,"Palatal shelf palatal_shelf, "
3091,52386,Pancreas,IMPC_EMO_117_001,"Pancreas pancreas, "
3092,52387,Parathyroid gland,IMPC_EMO_118_001,"Parathyroid gland parathyroid_gland, "
3093,52388,Penis,IMPC_EMO_119_001,"Penis penis, "
3094,52389,Pericardial cavity,IMPC_EMO_120_001,"Pericardial cavity pericardial_cavity, "
3095,52390,Pericardium,IMPC_EMO_121_001,"Pericardium pericardium, "
3096,52391,Peritoneal cavity,IMPC_EMO_122_001,"Peritoneal cavity peritoneal_cavity, "
3097,52392,Pineal primordium,IMPC_EMO_123_001,"Pineal primordium pineal_primordium, "
3098,52393,Pinna,IMPC_EMO_124_001,"Pinna pinna, "
3099,52394,Pons,IMPC_EMO_125_001,"Pons pons, "
3100,52395,Portal vein,IMPC_EMO_126_001,"Portal vein portal_vein, "
3101,52396,Primary palate,IMPC_EMO_127_001,"Primary palate primary_palate, "
3102,52397,Pulmonary artery,IMPC_EMO_128_001,"Pulmonary artery pulmonary_artery, "
3103,52398,Quadriceps muscle,IMPC_EMO_129_001,"Quadriceps muscle  quadriceps_muscle, "
3104,52399,Radius,IMPC_EMO_130_001,"Radius radius, "
3105,52400,Rathke's pouch,IMPC_EMO_131_001,"Rathke's pouch rathke_s_pouch, "
3106,52401,Rectum,IMPC_EMO_132_001,"Rectum rectum, "
3107,52402,Rib,IMPC_EMO_133_001,"Rib rib, "
3108,52403,S1 vertebral cartilage condensation,IMPC_EMO_134_001,"S1 vertebral cartilage condensation s1_vertebral_cartilage_condensation, "
3109,52404,Scapula,IMPC_EMO_135_001,"Scapula scapula, "
3110,52405,Semicircular canal,IMPC_EMO_136_001,"Semicircular canal semicircular_canal, "
3111,52406,Small intestine,IMPC_EMO_137_001,"Small intestine small_intestine, "
3112,52407,Sphenoid bone,IMPC_EMO_138_001,"Sphenoid bone sphenoid_bone, "
3113,52408,Spinal cord,IMPC_EMO_139_001,"Spinal cord spinal_cord, "
3114,52409,Spinal cord central canal,IMPC_EMO_140_001,"Spinal cord central canal spinal_cord_central_canal, "
3115,52410,Spleen primordium,IMPC_EMO_141_001,"Spleen primordium spleen_primordium, "
3116,52411,Sternum,IMPC_EMO_142_001,"Sternum sternum, "
3117,52412,Stomach,IMPC_EMO_143_001,"Stomach stomach, "
3118,52413,Stomach lumen,IMPC_EMO_144_001,"Stomach lumen stomach_lumen, "
3119,52414,Stomach wall,IMPC_EMO_145_001,"Stomach wall stomach_wall, "
3120,52415,Stomach fundus,IMPC_EMO_146_001,"Stomach fundus stomach_fundus, "
3121,52416,Stomach pyloric region,IMPC_EMO_147_001,"Stomach pyloric region stomach_pyloric_region, "
3122,52417,Subclavian artery,IMPC_EMO_148_001,"Subclavian artery subclavian_artery, "
3123,52418,Submandibular gland,IMPC_EMO_149_001,"Submandibular gland submandibular_gland, "
3124,52419,Tail,IMPC_EMO_150_001,"Tail tail, "
3125,52420,Nucleus pulposus,IMPC_EMO_151_001,"Nucleus pulposus nucleus_pulposus, "
3126,52421,Temporal bone,IMPC_EMO_152_001,"Temporal bone temporal_bone, "
3127,52422,Testis,IMPC_EMO_153_001,"Testis testis, "
3128,52423,Thalamus,IMPC_EMO_154_001,"Thalamus thalamus, "
3129,52424,Descending aorta,IMPC_EMO_155_001,"Descending aorta descending_thoracic_aorta, "
3130,52425,Thymus,IMPC_EMO_156_001,"Thymus thymus, "
3131,52426,Thyroid gland,IMPC_EMO_157_001,"Thyroid gland thyroid_gland, "
3132,52427,Tibia,IMPC_EMO_158_001,"Tibia tibia, "
3133,52428,Tongue,IMPC_EMO_159_001,"Tongue tongue, "
3134,52429,Trachea,IMPC_EMO_160_001,"Trachea trachea, "
3135,52430,Tricuspid valve,IMPC_EMO_161_001,"Tricuspid valve tricuspid_valve, "
3136,52431,Trigeminal V ganglion,IMPC_EMO_162_001,"Trigeminal V ganglion trigeminal_v_ganglion, "
3137,52432,Ulna,IMPC_EMO_163_001,"Ulna ulna, "
3138,52433,Upper jaw incisor,IMPC_EMO_164_001,"Upper jaw incisor upper_jaw_incisor, "
3139,52434,Upper jaw molar,IMPC_EMO_165_001,"Upper jaw molar upper_jaw_molar, "
3140,52435,Urethra,IMPC_EMO_166_001,"Urethra urethra, "
3141,52436,Vagal trunk,IMPC_EMO_167_001,"Vagal trunk vagal_trunk, "
3142,52437,Vena cava,IMPC_EMO_168_001,"Vena cava vena_cava, "
