gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,parameter_name,pvalue
MGI:2385213,Pdik1l,C57BL,Late adult,IMPC_CSD_061_001,Skin color - tail,0.7330816
MGI:3588216,Ube2u,C57BL,Early adult,CCP_XRY_001_001,Skull shape,0.5684368
MGI:1891259,Lrat,C57BL,Early adult,IMPC_GEL_063_001,Delayed embryonic development,0.5605914
MGI:108429,Lpar1,C57BL,Early adult,MGP_IMM_127_001,Plasmacytoid DC - % of CD45+,0.5512868
MGI:2685260,Otol1,C57BL,Early adult,MGP_IMM_009_001,Total Treg cells - % of CD4+,0.7778038
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_OFD_012_001,Periphery permanence time,0.7961556
MGI:1337072,Ier5,C57BL,Late adult,IMPC_CSD_061_001,Skin color - tail,0.2472121
MGI:1346086,Aplnr,C57BL,Early adult,MGP_CSD_008_001,Startle response,0.2784129
MGI:102519,Cst3,C57BL,E15.5,MGP_PBI_015_001,IgD+ mature B cell percentage,0.1613854
MGI:1915247,Ddx59,C57BL,E9.5,IMPC_CBC_013_001,Alanine aminotransferase,0.5293128
MGI:1341907,Fjx1,C57BL,Early adult,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.8540598
MGI:98960,Wnt6,C57BL,E15.5,IMPC_IPG_012_001,Area under glucose response curve,0.1127016
MGI:104793,Runx1t1,C57BL,Early adult,IMPC_GEO_019_001,Embryo Size,0.9696556
MGI:1915862,Ube2c,C59BL,E18.5,IMPC_GEM_019_001,Embryo Size,0.1484322
MGI:87867,Acadm,C57BL,Early adult,IMPC_OFD_050_001,Percentage center movement time,0.9742884
MGI:1923304,Prrc2b,C57BL,Early adult,IMPC_CSD_006_001,Coat - color - head,0.06372258
MGI:2444681,Hhat,C57BL,Early adult,IMPC_CBC_023_001,Alpha-amylase,0.4059363
MGI:2443564,Ambra1,C57BL,E18.5,JAX_OFD_050_001,Percentage center movement time,0.9419525
MGI:1919128,Fam83d,C57BL,Early adult,MGP_MLN_076_001,Naive CD8+ T cells - % of CD45+,0.3942577
MGI:1918142,Ttll7,C57BL,Early adult,UCDLA_HEM_002_001,Red blood cell count,0.9677075
MGI:98386,Sptan1,C57BL,E9.5,IMPC_CBC_013_001,Alanine aminotransferase,0.1284962
MGI:1913746,Ppdpf,C57BL,Early adult,JAX_ROT_002_001,Average duration,0.7856844
MGI:1921607,Efhd1,C57BL,Early adult,ESLIM_020_001_002,Heart weight,0.9222536
MGI:3576049,Ugt1a2,C57BL,Early adult,IMPC_GEO_017_002,Facial Cleft,0.1788115
MGI:1920199,Ccnt2,C57BL,E18.5,IMPC_OFD_011_001,Periphery resting time,0.4320602
MGI:1919369,Tpx2,C57BL,E9.5,IMPC_XRY_027_001,Joints,0.06986615
MGI:2384297,Map7d1,C57BL,E12.5,IMPC_GEL_011_001,Embryo turning,0.6593767
MGI:2444631,Bltp1,C57BL,E15.5,IMPC_GEM_069_001,Hindbrain morphology,0.5068005
MGI:1919128,Fam83d,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.8147652
MGI:97850,Raly,C57BL,Early adult,UCDLA_HEM_002_001,Red blood cell count,0.0722159
MGI:101813,Coq3,C57BL,Early adult,IMPC_IPG_010_001,Fasted blood glucose concentration,0.9802191
MGI:1309469,Casq2,C57BL,E15.5,IMPC_HEM_008_001,Platelet count,0.3691458
MGI:2685195,Zbtb34,C57BL,Early adult,IMPC_CBC_025_001,LDL-cholesterol,0.6909561
MGI:2153070,Synpo2,C57BL,Early adult,MGP_MLN_078_001,Total gd T cells - % of CD45+,0.2057633
MGI:1919369,Tpx2,C57BL,E9.5,CCP_LDT_004_001,Dark side time spent,0.07876831
MGI:2158201,Acot8,C57BL,Early adult,IMPC_XRY_023_001,Ulna,0.0854867
MGI:97324,Nhlh2,C57BL,Early adult,IMPC_CBC_015_001,Total cholesterol,0.8875533
MGI:3611233,Tox2,C57BL,Early adult,IMPC_CBC_014_001,Alkaline phosphatase,0.4870158
MGI:2385213,Pdik1l,C57BL,Late adult,IMPC_CSD_005_001,Coat - color - back,0.3621844
MGI:97565,Pgm1,C57BL,Early adult,IMPC_EYE_092_001,Retina (combined),0.6173981
MGI:1919300,Poglut2,C57BL,Early adult,IMPC_XRY_033_001,Tibia length,0.7400456
MGI:104559,Rcn1,C57BL,Early adult,IMPC_DXA_007_001,BMC/Body weight,0.7811353
MGI:1927753,Inpp5e,C57BL,E15.5,MGP_IMM_077_001,Effector Treg cells - % of CD45+,0.7347005
MGI:2385213,Pdik1l,C57BL,Late adult,JAX_SLW_003_001,Sleep light phase percent,0.5191794
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_HEM_004_001,Hematocrit,0.2051965
MGI:2654325,Gba2,C57BL,Early adult,MGP_MLN_076_001,Naive CD8+ T cells - % of CD45+,0.3946984
MGI:1923304,Prrc2b,C57BL,Early adult,MGP_IMM_086_001,CD5+ gd T cells - % of CD45+,0.8658585
MGI:106637,Slc30a2,C57BL,Early adult,MGP_MLN_079_001,CD5+ gd T cells - % of CD45+,0.974508
MGI:97324,Nhlh2,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.2582658
MGI:1915599,Ndufs3,C57BL,Early adult,CCP_XRY_020_001,Processes on vertebrae,0.7155781
MGI:1914199,Trim59,C57BL,E12.5,IMPC_GEM_029_001,Tail Morphology,0.1823368
MGI:1201673,Shox2,C57BL,E9.5,MGP_MLN_115_001,Plasmacytoid DC - % of CD45+,0.4214263
MGI:1916428,Snx5,129SV,Early adult,IMPC_EYE_024_001,Retinal Blood Vessels,0.334089
MGI:107363,Stxbp1,C57BL,Early adult,IMPC_OFD_019_001,Number of center entries,0.2167843
MGI:1923953,Cpb1,C57BL,Early adult,MGP_MLN_066_001,Effector CD4+ T helper cells - % of CD45+,0.5200642
MGI:1927753,Inpp5e,C57BL,E15.5,IMPC_HEM_029_001,Neutrophil differential count,0.9792219
MGI:1341898,Nmur1,C57BL,Early adult,M-G-P_025_001_005,Potassium,0.3622665
MGI:2385213,Pdik1l,C57BL,Late adult,IMPC_EYE_082_001,Iris transilumination,0.3938943
MGI:1916330,Gmppa,C57BL,Early adult,IMPC_DXA_004_001,Bone Mineral Density (excluding skull),0.2279314
MGI:2448514,R3hdm1,C57BL,Early adult,IMPC_CSD_015_001,Coat - hair texture / appearance - head,0.9941163
MGI:1919471,Cimip1,C57BL,Early adult,IMPC_CBC_005_001,Creatinine,0.4656688
MGI:1913692,Spc25,C57BL,Early adult,JAX_OFD_020_001,Distance travelled - total,0.3631378
MGI:1921735,Lrrc71,C57BL,Early adult,IMPC_ABR_012_001,30kHz-evoked ABR Threshold,0.296197
MGI:101770,Bfsp1,C57BL,Early adult,IMPC_GEM_019_001,Embryo Size,0.8717588
MGI:2441837,Adgrb3,C57BL,E18.5,IMPC_CBC_025_001,LDL-cholesterol,0.9302523
MGI:95975,Ifi44l,C57BL,Early adult,M-G-P_005_001_003,Lean Mass,0.2049722
MGI:104899,Mob4,C57BL,E9.5,IMPC_OFD_021_001,Number of rears - total,0.6353976
MGI:2442704,Frrs1l,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.7469031
MGI:98397,Src,129SV,Early adult,IMPC_CBC_012_001,Aspartate aminotransferase,0.5533782
MGI:1919084,Zbtb43,C57BL,Early adult,IMPC_HEM_037_001,Basophil cell count,0.2823578
MGI:1917120,Polr3gl,C57BL,E18.5,IMPC_XRY_022_001,Radius,0.6080441
MGI:2684789,Lrsam1,C57BL,Early adult,MGP_MLN_011_001,KLRG1+ Treg cells - % of Treg,0.4289863
MGI:3606212,Rbbp8nl,C57BL,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.1315181
MGI:2444508,Fitm2,C57BL,E15.5,IMPC_OFD_014_001,Center distance travelled,0.5807512
MGI:1917770,Glipr2,C57BL,Early adult,IMPC_ABR_004_001,6kHz-evoked ABR Threshold,0.3096981
MGI:107674,Cd1d1,C57BL,Early adult,IMPC_HEM_038_001,Basophil differential count,0.414515
MGI:1923304,Prrc2b,C57BL,Early adult,IMPC_DXA_008_001,Lean/Body weight,0.4315021
MGI:1309469,Casq2,C57BL,E15.5,IMPC_CSD_025_001,Head size,0.5976438
MGI:1890510,Atp6v0b,C57BL,Early adult,IMPC_DXA_006_001,Body length,0.5985954
MGI:98960,Wnt6,C57BL,Early adult,IMPC_CAL_017_001,Respiratory Exchange Ratio,0.3806586
MGI:2384297,Map7d1,C57BL,E9.5,JAX_OFD_009_001,Whole arena average speed,0.2181865
MGI:1926106,Fam163b,C57BL,Early adult,MGP_PBI_009_001,CD4+ CD44+ CD62L- alpha beta effector T cell percentage,0.5678827
MGI:97565,Pgm1,C57BL,Early adult,IMPC_CSD_025_001,Head size,0.306437
MGI:97803,Ptma,C57BL,E15.5,MGP_IMM_010_001,Effector Treg cells - % of Treg,0.2696894
MGI:1913721,Anp32e,C57BL,Early adult,MGP_MLN_115_001,Plasmacytoid DC - % of CD45+,0.7163055
MGI:109424,Abca4,C57BL,Early adult,IMPC_CSD_079_001,Aggression,0.8430131
MGI:1913790,Fam107b,129SV,Early adult,IMPC_ECG_028_001,QT,0.5289449
MGI:2443564,Ambra1,C57BL,E18.5,IMPC_GEM_025_002,Pallor,0.09134023
MGI:1922387,Rprd2,C57BL,E9.5,IMPC_OFD_021_001,Number of rears - total,0.5462195
MGI:104793,Runx1t1,C57BL,Early adult,MGP_MLN_079_001,CD5+ gd T cells - % of CD45+,0.2595416
MGI:2685195,ZBTB34,C57BL,Early adult,ESLIM_011_001_002,PP1 startle magnitude,0.9337051
MGI:2444631,Bltp1,C57BL,E12.5,IMPC_GEO_043_002,spina bifida,0.6508001
MGI:1927753,Inpp5e,C57BL,Early adult,IMPC_EYE_088_001,Left vitreous humour thickness,0.6192319
MGI:2445096,Dhtkd1,C57BL,Early adult,IMPC_CSD_037_001,Unexpected behaviors,0.6807993
MGI:1918066,Rpusd2,C57BL,Early adult,IMPC_ECH_018_001,Respiration Rate,0.1137948
MGI:1915282,Emc4,C57BL,Early adult,IMPC_OFD_021_001,Number of rears - total,0.6030688
MGI:1350926,Etv3,C57BL,Early adult,IMPC_CBC_017_001,Triglycerides,0.1541018
MGI:97565,Pgm1,C57BL,E9.5,IMPC_CSD_041_002,Hindpaw - size,0.1482029
MGI:1913790,Fam107b,C57BL,Early adult,MGP_IMM_004_001,Total CD4+ T cells - % of ab T cells,0.1913227
MGI:3590554,FIRRM,C57BL,Early adult,MGP_IMM_011_001,Resting Treg cells - % of Treg,0.1058655
MGI:3650206,Gm12695,C57BL,Early adult,MGP_IMM_006_001,Effector CD4+ T helper cells - % of CD4+ T helper cells,0.1293033
MGI:1917770,Glipr2,C57BL,Early adult,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.8181753
MGI:3649135,Gm7694,C57BL,Early adult,JAX_OFD_017_001,Center average speed,0.8069032
MGI:104899,Mob4,C57BL,E9.5,JAX_OFD_007_001,Whole arena resting time,0.7415616
MGI:107191,Bmpr1b,C57BL,Early adult,IMPC_EYE_061_001,Right anterior chamber depth,0.06327715
MGI:3606212,Rbbp8nl,C57BL,Early adult,IMPC_GEO_064_001,Edema,0.3425343
MGI:2138198,D630023F18Rik,C57BL,Early adult,JAX_OFD_022_001,Percentage center time,0.2787287
MGI:1924955,Cstdc2,C57BL,Early adult,CCP_LDT_004_001,Dark side time spent,0.941269
MGI:1913882,Dph6,C57BL,Early adult,IMPC_GEM_075_001,Delayed embryonic development,0.1409493
MGI:1351315,Eloa,C57BL,Early adult,ESLIM_011_001_003,PP2 startle magnitude,0.4783291
MGI:3650206,Gm12695,C57BL,Early adult,ESLIM_021_001_002,Total cholesterol,0.1042413
MGI:1919051,Plekhf2,C57BL,Early adult,MGP_MLN_076_001,Naive CD8+ T cells - % of CD45+,0.8316915
MGI:1915599,Ndufs3,C57BL,Early adult,IMPC_CBC_001_001,Sodium,0.9600968
MGI:1095412,Unc5c,C57BL,Early adult,CCP_XRY_031_001,Digit integrity,0.9870447
MGI:1916987,Ttl,C57BL,E12.5,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.6925274
MGI:107191,BMPR1B,C57BL,Early adult,IMPC_DXA_005_001,Bone Mineral Content (excluding skull),0.5395488
MGI:1916987,Ttl,C57BL,E15.5,IMPC_GRS_009_001,Forelimb and hindlimb grip strength measurement mean,0.3136928
MGI:2677271,Slc24a5,C57BL,Early adult,MGP_IMM_116_001,Plasma cells - % of CD45+,0.4321807
MGI:1924265,Mpped2,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.7384785
MGI:2444631,Bltp1,C57BL,E12.5,IMPC_CBC_002_001,Potassium,0.5482114
MGI:104708,Cct3,C57BL,E9.5,IMPC_ECG_003_001,CV,0.457016
MGI:1916987,Ttl,C57BL,E15.5,KMPCLA_GRS_010_001,Forelimb grip strength normalised against body weight,0.1967715
MGI:1918066,Rpusd2,C57BL,Early adult,CCP_XRY_005_001,Teeth,0.1544156
MGI:2385213,Pdik1l,C57BL,Early adult,MGP_MLN_014_001,Resting CD8+ T cells - % of CD8+,0.5062928
MGI:1350930,Srp9,C57BL,Early adult,IMPC_CBC_001_001,Sodium,0.9478496
MGI:1919051,Plekhf2,C57BL,Early adult,IMPC_OFD_016_001,Center permanence time,0.680873
MGI:1923073,Fam227b,C57BL,Early adult,CCP_XRY_004_001,Mandibles,0.2782802
MGI:2135283,Igsf9,C57BL,Early adult,IMPC_GEP_017_001,Facial Morphology,0.1304617
MGI:1349164,Sdc4,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.1388028
MGI:1095412,Unc5c,C57BL,Early adult,IMPC_IMM_032_002,Effector CD8+ T cells - % of live leukocytes (Panel A),0.4846429
MGI:1201673,Shox2,C57BL,E9.5,IMPC_EYE_068_001,Left total retinal thickness,0.4947482
MGI:2385213,PDIK1L,C57BL,Middle aged adult,IMPC_XRY_063_001,Cervical processes,0.807811
MGI:1918142,Ttll7,C57BL,Early adult,MGP_PBI_009_001,CD4+ CD44+ CD62L- alpha beta effector T cell percentage,0.4436921
MGI:1921735,Lrrc71,C57BL,Early adult,IMPC_GEO_015_001,Head shape,0.9931864
MGI:1917770,Glipr2,C57BL,Early adult,M-G-P_026_001_003,Coat intact,0.694687
MGI:2676312,Abca12,C57BL,Early adult,IMPC_CBC_001_001,Sodium,0.9077374
MGI:1098604,Rragd,C57BL,Early adult,IMPC_EYE_003_001,Eye Hemorrhage or Blood Presence,0.2958813
MGI:97565,Pgm1,C57BL,E9.5,IMPC_GEM_070_001,Midbrain morphology,0.3350869
MGI:2385213,Pdik1l,C57BL,Middle aged adult,JAX_LDT_008_001,Percent time in dark,0.8784945
MGI:1914542,Pigc,C57BL,Early adult,IMPC_CSD_014_001,Coat - hair texture / appearance - back,0.3304473
MGI:107674,Cd1d1,C57BL,Early adult,IMPC_CBC_004_001,Urea (Blood Urea Nitrogen - BUN),0.8919275
MGI:107191,Bmpr1b,C57BL,Early adult,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.9348993
MGI:1350930,Srp9,C57BL,E9.5,IMPC_OFD_012_001,Periphery permanence time,0.3794327
MGI:98397,Src,C57BL,Early adult,IMPC_EYE_065_001,Right posterior chamber depth,0.5102281
MGI:97565,Pgm1,C57BL,Early adult,MGP_IMM_019_001,CD5+ gd T cells - % of gd T cells,0.8822697
MGI:1350930,Srp9,C57BL,E12.5,IMPC_IPG_010_001,Fasted blood glucose concentration,0.9363435
MGI:3045320,Mgat4f,C57BL,Early adult,JAX_LDT_003_001,Time mobile light side,0.836332
MGI:1859866,Cdc20,C57BL,E12.5,ESLIM_011_001_002,PP1 startle magnitude,0.629944
MGI:1922423,Tex38,C57BL,Early adult,CCP_XRY_004_001,Mandibles,0.6217416
MGI:2140361,Slc35d1,C57BL,Early adult,IMPC_ECG_004_001,RR,0.2991767
MGI:1914210,Mindy3,C57BL,Early adult,MGP_IMM_052_001,Plasma cells - % of B2 cells,0.1361533
MGI:99218,Cdh4,C57BL,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.9228694
MGI:2676312,Abca12,C57BL,E18.5,IMPC_HEM_003_001,Hemoglobin,0.06271728
MGI:2158201,Acot8,C57BL,Early adult,IMPC_CBC_005_001,Creatinine,0.8301091
MGI:106925,Cldn11,C57BL,Late adult,IMPC_EYE_003_001,Eye Hemorrhage or Blood Presence,0.1020165
MGI:101813,Coq3,C57BL,Early adult,IMPC_CSD_040_002,Forepaw - size,0.9022041
MGI:2443564,Ambra1,C57BL,E12.5,ESLIM_015_001_004,Sodium,0.3654595
MGI:2385213,Pdik1l,C57BL,Early adult,MGP_IMM_011_001,Resting Treg cells - % of Treg,0.2737627
MGI:2443805,Bnc2,C57BL,Early adult,IMPC_ACS_037_001,% Pre-pulse inhibition - Global,0.7995246
MGI:1921607,Efhd1,C57BL,Early adult,UCD_OWT_029_001,Body length,0.4222624
MGI:1926106,Fam163b,C57BL,Early adult,ESLIM_020_001_004,Visual abnormality,0.7228101
MGI:2445096,DHTKD1,C57BL,Early adult,ESLIM_005_001_005,Bone Mineral Content,0.3400448
MGI:106637,Slc30a2,C57BL,E9.5,IMPC_HWT_002_001,Tibia length,0.7146863
MGI:2441837,Adgrb3,C57BL,Early adult,IMPC_OFD_012_001,Periphery permanence time,0.9263592
MGI:2444631,Bltp1,C57BL,Early adult,IMPC_XRY_027_001,Joints,0.4797915
MGI:102844,Mybpc3,C57BL,Early adult,ESLIM_021_001_005,HDL-cholesterol,0.8509901
MGI:107363,Stxbp1,C57BL,E18.5,IMPC_CBC_006_001,Total protein,0.9280501
MGI:1920199,Ccnt2,C57BL,Early adult,IMPC_CSD_036_001,Startle response,0.3107446
MGI:98386,Sptan1,C57BL,E9.5,IMPC_XRY_063_001,Cervical processes,0.157809
MGI:95777,Gnas,129SV,Early adult,IMPC_GEM_025_002,Pallor,0.9013863
MGI:107363,Stxbp1,C57BL,E9.5,MGP_IMM_130_001,CD11b-low cDC - % of CD45+,0.3320006
MGI:3590554,Firrm,C57BL,Early adult,IMPC_CSD_014_001,Coat - hair texture / appearance - back,0.1085565
MGI:2677271,Slc24a5,C57BL,Early adult,MGP_CSD_068_001,Vibrissae,0.8357568
MGI:103300,Rbl1,C57BL,Early adult,JAX_HBD_001_001,Total holepokes,0.3458721
MGI:1914454,Eif2s2,C57BL,Early adult,MGP_IMM_007_001,Resting CD4+ T helper cells - % of CD4+ T helper cells,0.7854664
MGI:99218,Cdh4,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.07968266
MGI:1926106,Fam163b,C57BL,Early adult,IMPC_CBC_008_001,Total bilirubin,0.8323955
MGI:2443100,Bend7,C57BL,Early adult,M-G-P_025_001_005,Potassium,0.4782589
MGI:1921263,Rftn2,C57BL,Early adult,IMPC_CSD_024_001,Vibrissae - appearance,0.8291832
MGI:107191,Bmpr1b,C54BL,Early adult,MGP_IMM_128_001,Conventional DC (cDC) - % of CD45+,0.6237332
MGI:97565,Pgm1,C57BL,Early adult,IMPC_CBC_005_001,Creatinine,0.3785204
MGI:1917120,Polr3gl,C57BL,Early adult,ESLIM_005_001_701,BMC/Body weight,0.2580332
MGI:3576049,Ugt1a2,C57BL,Early adult,MGP_MLN_078_001,Total gd T cells - % of CD45+,0.8597944
MGI:2444631,Bltp1,C57BL,E15.5,IMPC_XRY_006_001,Scapulae,0.06973749
MGI:1916987,Ttl,C57BL,Early adult,MGP_IMM_083_001,Naive CD8+ T cells - % of CD45+,0.5940664
MGI:1916330,Gmppa,C57BL,Early adult,UCDLA_EYE_083_001,Vitreous,0.2760842
MGI:1860511,Heyl,C57BL,Early adult,IMPC_EYE_069_001,Left inner nuclear layer,0.9369347
MGI:2679420,Pak6,C57BL,Early adult,IMPC_CSD_030_001,Tremor,0.2270251
MGI:2444824,Sirpb1a,C57BL,Early adult,IMPC_GEP_005_002,Responsive to tactile stimuli,0.1970049
MGI:2140259,Zmynd12,C57BL,Early adult,MGP_IMM_013_001,Total CD8+ T cells - % of ab T cells,0.4212204
MGI:2153070,Synpo2,C57BL,Early adult,IMPC_EYE_064_001,Right outer nuclear layer,0.1804909
MGI:1927753,Inpp5e,C57BL,Early adult,JAX_OFD_009_001,Whole arena average speed,0.172445
MGI:107674,Cd1d1,C57BL,Early adult,CCP_XRY_004_001,Mandibles,0.8322341
MGI:97324,Nhlh2,C57BL,Early adult,IMPC_HEM_005_001,Mean cell volume,2.345439e-05
MGI:97803,Ptma,C57BL,E9.5,IMPC_GRS_010_001,Forelimb grip strength normalised against body weight,0.6610879
MGI:101813,Coq3,C57BL,Early adult,MGP_IMM_086_001,CD5+ gd T cells - % of CD45+,0.6814163
MGI:1096385,Bcan,C57BL,Late adult,IMPC_CSD_029_001,Activity (body position),0.4886278
MGI:1913721,Anp32e,C57BL,Early adult,ESLIM_011_001_005,PP4 startle magnitude,0.6170878
MGI:87879,Aco1,C57BL,Early adult,MGP_IMM_076_001,Total Treg cells - % of CD45+,0.4129635
MGI:1098604,Rragd,C57BL,Early adult,ESLIM_005_001_701,BMC/Body weight,0.469748
MGI:1914199,Trim59,C57BL,Early adult,MGP_MLN_018_001,CD5+ gd T cells - % of gd T cells,0.6970273
MGI:2384297,Map7d1,C57BL,Early adult,IMPC_CSD_014_001,Coat - hair texture / appearance - back,0.9590291
MGI:107674,Cd1d1,C57BL,Early adult,IMPC_ECG_014_001,rMSSD,0.4406266
MGI:1346086,Aplnr,C57BL,Early adult,MGP_CSD_008_001,Startle response,0.7135637
MGI:2681832,Cspp1,C57BL,Early adult,IMPC_CSD_041_002,Hindpaw - size,0.1994778
MGI:1919369,Tpx2,C57BL,E9.5,MGP_IMM_126_001,Total DC - % of CD45+,0.6063027
MGI:1924467,Rspo4,C57BL,Early adult,IMPC_XRY_033_001,Tibia length,0.3217672
MGI:2444508,Fitm2,C57BL,Early adult,IMPC_HEM_030_001,Neutrophil cell count,0.8390431
MGI:2444391,Slc25a44,C57BL,Early adult,ESLIM_008_001_022,Vocalisation,0.1272455
MGI:1351315,Eloa,C57BL,E9.5,IMPC_DXA_008_001,Lean/Body weight,0.894999
MGI:1913746,Ppdpf,C57BL,Early adult,IMPC_CBC_020_001,Fructosamine,0.2060705
MGI:1353665,Usp21,C57BL,Early adult,ESLIM_013_001_004,Left retina pigmentation,0.8112209
MGI:97850,Raly,C57BL,Early adult,CCP_XRY_061_001,Fusion of processes,0.0944305
MGI:97565,Pgm1,C57BL,E12.5,IMPC_OFD_021_001,Number of rears - total,0.7926665
MGI:1350930,Srp9,C57BL,E12.5,IMPC_EYE_023_001,Optic Disc,0.6145449
MGI:2444631,Bltp1,C57BL,Early adult,IMPC_GEO_064_001,Edema,0.2679445
MGI:2140259,Zmynd12,C57BL,Early adult,MGP_IMM_076_001,Total Treg cells - % of CD45+,0.9261569
MGI:2676312,Abca12,C57BL,Early adult,IMPC_XRY_023_001,Ulna,0.8536833
MGI:1919051,Plekhf2,C57BL,Early adult,CCP_XRY_062_001,Polysyndactylism,0.6351669
MGI:3646006,Gm5148,C57BL,Early adult,JAX_PLC_004_001,Glucose,0.8150471
MGI:2384297,Map7d1,C57BL,E12.5,IMPC_CBC_015_001,Total cholesterol,0.638482
MGI:1920484,Snorc,C57BL,Early adult,MGP_MLN_015_001,Naive CD8+ T cells - % of CD8+,0.461412
MGI:1921735,Lrrc71,C57BL,Early adult,CCP_XRY_004_001,Mandibles,0.6898114
MGI:2151053,Serpinb7,C57BL,Early adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.2768573
MGI:1922423,Tex38,C57BL,Early adult,IMPC_GEO_017_002,Facial Cleft,0.3699605
MGI:1201673,Shox2,C57BL,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.4432819
MGI:3650206,Gm12695,C57BL,Early adult,IMPC_EYE_092_002,Retina (combined),0.3427935
MGI:1924232,Vxn,C57BL,Early adult,IMPC_HEM_031_001,Lymphocyte differential count,0.9835894
MGI:1278321,Epc2,C57BL,Early adult,IMPC_CSD_041_002,Hindpaw - size,0.6412936
MGI:1918142,Ttll7,C57BL,Early adult,MGP_MLN_003_001,Total CD4+ T cells - % of ab T cells,0.3058855
MGI:2140050,Ints3,C57BL,E9.5,MGP_IMM_127_001,Plasmacytoid DC - % of CD45+,0.1525652
MGI:1309469,Casq2,C57BL,Early adult,M-G-P_025_001_005,Potassium,0.208461
MGI:1353435,Fbxw2,C57BL,Early adult,IMPC_HEM_037_001,Basophil cell count,0.7186832
MGI:1927753,Inpp5e,C57BL,E12.5,UCDLA_EYE_083_001,Vitreous,0.7017097
MGI:101784,Nes,C57BL,Early adult,IMPC_GEL_027_001,Neural tube closure,0.3789146
MGI:107363,Stxbp1,C57BL,E9.5,ESLIM_015_001_004,Sodium,0.8488772
MGI:2441837,Adgrb3,C57BL,Early adult,IMPC_XRY_006_001,Scapulae,0.5422067
MGI:1915862,Ube2c,C57BL,E12.5,IMPC_CBC_018_001,Glucose,0.08509226
MGI:97565,Pgm1,C57BL,E12.5,IMPC_HWT_002_001,Tibia length,0.6464639
MGI:3045320,Mgat4f,C57BL,Early adult,M-G-P_026_001_010,Mouth morphology,0.4269704
MGI:1915862,Ube2c,C57BL,E18.5,IMPC_IMM_040_002,Effector CD4+ NKT cells - % of live leukocytes (Panel A),0.7221093
MGI:1920199,Ccnt2,C57BL,E12.5,MGP_IMM_086_001,CD5+ gd T cells - % of CD45+,0.278994
MGI:105383,Il18r1,C57BL,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.7556026
MGI:2442704,Frrs1l,C57BL,Early adult,IMPC_GEM_068_001,Forebrain morphology,0.1651716
MGI:101784,Nes,C57BL,Early adult,IMPC_EYE_003_001,Eye Hemorrhage or Blood Presence,0.5599266
MGI:2138198,D630023F18Rik,C57BL,Early adult,IMPC_FEA_003_001,Conditioning Baseline % Freezing Time,0.09472511
MGI:1916987,Ttl,C57BL,E15.5,IMPC_XRY_063_001,Cervical processes,0.8106443
MGI:101813,Coq3,C57BL,Early adult,IMPC_GEL_060_001,Neural tube morphology,0.8671597
MGI:1916732,Nup35,C57BL,Early adult,IMPC_XRY_022_001,Radius,0.6881936
MGI:3650206,Gm12695,C57BL,Early adult,JAX_LDT_002_001,Light side time spent,0.06166193
MGI:103300,Rbl1,C57BL,Early adult,IMPC_EYE_068_001,Left total retinal thickness,0.9166186
MGI:1921607,Efhd1,C57BL,Early adult,IMPC_XRY_012_001,Pelvis,0.08023867
MGI:104688,Col4a3,C57BL,Early adult,IMPC_HWT_002_001,Tibia length,0.5107003
MGI:2384297,Map7d1,C57BL,Early adult,ESLIM_005_001_005,Bone Mineral Content,0.9545154
MGI:2444989,Spg11,C57BL,Early adult,UCDIP_CSD_014_001,Coat - hair texture / appearance - back,0.3051662
MGI:1201673,Shox2,C57BL,E12.5,ESLIM_011_001_002,PP1 startle magnitude,0.1929522
MGI:1921263,Rftn2,C57BL,Early adult,IMPC_CBC_002_001,Potassium,0.3899253
MGI:1921722,Stpg3,C57BL,Early adult,IMPC_DXA_003_001,Lean mass,0.126475
MGI:1920199,Ccnt2,C59BL,E12.5,IMPC_GEL_011_001,Embryo turning,0.09782392
MGI:1309469,Casq2,C57BL,Early adult,IMPC_ACS_034_001,% Pre-pulse inhibition - PPI2,0.1476033
MGI:1096385,Bcan,C57BL,Middle aged adult,MGP_CSD_027_001,Ventral coat/hair colour pattern,0.9785672
MGI:2443100,Bend7,C57BL,Early adult,IMPC_GEM_007_001,Pericardium Morphology,0.8668437
MGI:1913420,Chchd5,C57BL,Early adult,UCDLA_CSD_012_001,Coat - hair distribution - head,0.2492477
